127.0.0.1 - - [31/Oct/2018:22:15:33 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:18:07 +0800] "GET /mybatis_house/jsp/Login.jsp HTTP/1.1" 200 16450
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:18:09 +0800] "GET /mybatis_house/js/bootstrap.min.js HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:18:09 +0800] "GET /mybatis_house/css/login.css HTTP/1.1" 200 1073
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:18:09 +0800] "GET /mybatis_house/js/jquery-1.12.4.js HTTP/1.1" 200 304438
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:18:09 +0800] "GET /mybatis_house/css/bootstrap.min.css HTTP/1.1" 200 121261
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:18:11 +0800] "GET /mybatis_house/img/bg.jpg HTTP/1.1" 200 175557
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:18:11 +0800] "GET /mybatis_house/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:18:14 +0800] "GET /mybatis_house/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:18:16 +0800] "GET /mybatis_house/css/bootstrap.min.css.map HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:18:17 +0800] "GET /mybatis_house/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:18:19 +0800] "GET /mybatis_house/img/favicon.png HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:18:46 +0800] "GET /mybatis_house/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:18:46 +0800] "GET /mybatis_house/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:18:46 +0800] "GET /mybatis_house/css/bootstrap.min.css.map HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:19:28 +0800] "GET /mybatis_house/jsp/Login.jsp HTTP/1.1" 200 16459
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:19:28 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:19:28 +0800] "GET /js/jquery-1.12.4.js HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:19:28 +0800] "GET /css/login.css HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:19:28 +0800] "GET /mybatis_house/js/bootstrap.min.js HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:19:28 +0800] "GET /js/jquery-1.12.4.js HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:19:28 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:19:28 +0800] "GET /mybatis_house/img/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:19:41 +0800] "GET /mybatis_house/jsp/Login.jsp HTTP/1.1" 200 16450
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:19:41 +0800] "GET /mybatis_house/js/jquery-1.12.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:19:41 +0800] "GET /mybatis_house/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2018:22:19:41 +0800] "GET /mybatis_house/css/bootstrap.min.css HTTP/1.1" 304 -
