127.0.0.1 - - [21/Nov/2018:15:49:04 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:50:13 +0800] "GET /springmvc_01/test.jsp HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:50:15 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:50:57 +0800] "GET /springMVC_01/test.jsp HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:51:10 +0800] "POST /springmvc_1/show1 HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:52:28 +0800] "GET /springMVC_01/test.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:52:36 +0800] "POST /springMVC_01/show1 HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:55:06 +0800] "GET /springMVC_01/test.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:55:08 +0800] "POST /springMVC_01/show1 HTTP/1.1" 500 4041
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:00:24 +0800] "GET /springMVC_01/test.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:00:24 +0800] "POST /springMVC_01/show1 HTTP/1.1" 500 4041
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:00:50 +0800] "GET /springMVC_01/test.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:00:52 +0800] "POST /springMVC_01/show1 HTTP/1.1" 500 4041
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:01:14 +0800] "GET /springMVC_01/test.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:03:00 +0800] "GET /springMVC_01/test.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:03:01 +0800] "GET /springMVC_01/test.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:03:03 +0800] "POST /springMVC_01/show1 HTTP/1.1" 500 4041
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:03:53 +0800] "GET /springMVC_01/test.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:04:04 +0800] "POST /springMVC_01/show1 HTTP/1.1" 500 4041
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:04:15 +0800] "POST /springMVC_01/show1 HTTP/1.1" 500 4041
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:05:00 +0800] "GET /springMVC_01/test.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:06:29 +0800] "GET /springMVC_01/test.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:06:31 +0800] "POST /springMVC_01/show1 HTTP/1.1" 500 4041
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:07:40 +0800] "GET /springMVC_01/test.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:07:49 +0800] "POST /springMVC_01/show1 HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:08:11 +0800] "POST /springMVC_01/show1 HTTP/1.1" 500 4041
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:08:11 +0800] "POST /springMVC_01/show1 HTTP/1.1" 500 4041
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:08:37 +0800] "GET /springMVC_01/test.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:09:08 +0800] "GET /springMVC_01/test.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:09:17 +0800] "POST /springMVC_01/show1 HTTP/1.1" 500 4041
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:10:33 +0800] "GET /springMVC_01/test.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:10:41 +0800] "POST /springMVC_01/show1 HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:11:49 +0800] "GET /springmvc_01/test.jsp HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:11:50 +0800] "POST /springMVC_01/show1 HTTP/1.1" 500 5543
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:11:53 +0800] "GET /springMVC_01/test.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:12:01 +0800] "POST /springMVC_01/show1 HTTP/1.1" 500 5543
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:13:23 +0800] "GET /springMVC_01/test.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [21/Nov/2018:16:13:30 +0800] "POST /springMVC_01/show1 HTTP/1.1" 200 463
